root           1  0.2  0.0  22908 13936 ?        Ss   17:41   0:01 /sbin/init splash
root          53  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/9:0H-events_highpri]
root          54  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/10]
root          55  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/10]
root          56  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/10]
root          57  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/10]
root          58  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/10:0-events]
root          59  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/10:0H-events_highpri]
root          60  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/11]
root          61  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/11]
root          62  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/11]
root          63  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/11]
root          64  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/11:0-mm_percpu_wq]
root          65  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/11:0H-events_highpri]
root          66  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/1]
root          67  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/1]
root          68  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/1]
root          69  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/1]
root          70  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/1:0-mm_percpu_wq]
root          71  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/1:0H-events_highpri]
root          72  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/3]
root          73  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/3]
root          74  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/3]
root          75  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/3]
root          77  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/3:0H-events_highpri]
root          78  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/5]
root          79  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/5]
root          80  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/5]
root          81  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/5]
root          83  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/5:0H-events_highpri]
root          84  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/7]
root          85  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/7]
root          86  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/7]
root          87  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/7]
root          89  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/7:0H-events_highpri]
root          90  0.0  0.0      0     0 ?        S    17:41   0:00 [kdevtmpfs]
root          91  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-inet_frag_wq]
root          92  0.0  0.0      0     0 ?        S    17:41   0:00 [kauditd]
root          93  0.0  0.0      0     0 ?        S    17:41   0:00 [khungtaskd]
root          94  0.0  0.0      0     0 ?        S    17:41   0:00 [oom_reaper]
root          95  0.1  0.0      0     0 ?        I    17:41   0:00 [kworker/u48:1-events_power_efficient]
root          97  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-writeback]
root          98  0.0  0.0      0     0 ?        S    17:41   0:00 [kcompactd0]
root          99  0.0  0.0      0     0 ?        SN   17:41   0:00 [ksmd]
root         100  0.0  0.0      0     0 ?        SN   17:41   0:00 [khugepaged]
root         101  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-kintegrityd]
root         102  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-kblockd]
root         103  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-blkcg_punt_bio]
root         104  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/8:1-events]
root         105  0.0  0.0      0     0 ?        S    17:41   0:00 [irq/9-acpi]
root         106  0.1  0.0      0     0 ?        I    17:41   0:00 [kworker/9:1-cgroup_destroy]
root         107  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/1:1-i915-unordered]
root         108  0.3  0.0      0     0 ?        I    17:41   0:02 [kworker/2:1-i915-unordered]
root         109  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-tpm_dev_wq]
root         110  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-ata_sff]
root         111  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-md]
root         112  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-md_bitmap]
root         113  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-edac-poller]
root         114  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-devfreq_wq]
root         116  0.0  0.0      0     0 ?        S    17:41   0:00 [watchdogd]
root         117  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/6:1-events]
root         118  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/9:1H-kblockd]
root         119  0.0  0.0      0     0 ?        S    17:41   0:00 [kswapd0]
root         120  0.0  0.0      0     0 ?        S    17:41   0:00 [ecryptfs-kthread]
root         121  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-kthrotld]
root         122  0.0  0.0      0     0 ?        S    17:41   0:00 [irq/122-pciehp]
root         123  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-acpi_thermal_pm]
root         125  0.0  0.0      0     0 ?        S    17:41   0:00 [hwrng]
root         126  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-hfi-updates]
root         128  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-mld]
root         129  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/8:1H-i915_cleanup]
root         130  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-ipv6_addrconf]
root         138  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-kstrp]
root         139  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/3:1-i915-unordered]
root         140  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/5:1-mm_percpu_wq]
root         141  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/7:1-events]
root         142  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/11:1-cgroup_destroy]
root         143  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/4:1-mm_percpu_wq]
root         145  0.1  0.0      0     0 ?        I<   17:41   0:01 [kworker/u49:0-rtw89_tx_wq]
root         159  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-charger_manager]
root         162  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/0:1H-kblockd]
root         185  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/11:1H-i915_cleanup]
root         201  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/4:1H-i915_cleanup]
root         202  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/5:1H-kblockd]
root         206  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/7:1H-kblockd]
root         212  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/3:1H-kblockd]
root         217  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/10:1H-kblockd]
root         223  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/1:1H-kblockd]
root         236  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/2:1H-i915_cleanup]
root         237  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/6:1H-i915_cleanup]
root         238  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/4:2-events]
root         240  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-nvme-wq]
root         241  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-nvme-reset-wq]
root         242  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-nvme-delete-wq]
root         243  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-nvme-auth-wq]
root         245  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_0]
root         246  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_0]
root         247  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_1]
root         248  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_1]
root         249  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_2]
root         250  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_2]
root         251  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_3]
root         252  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_3]
root         253  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_4]
root         254  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_4]
root         255  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_5]
root         256  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_5]
root         257  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_6]
root         258  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_6]
root         259  0.0  0.0      0     0 ?        S    17:41   0:00 [scsi_eh_7]
root         260  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-scsi_tmf_7]
root         261  0.2  0.0      0     0 ?        I    17:41   0:01 [kworker/u48:5-events_unbound]
root         263  0.1  0.0      0     0 ?        I    17:41   0:01 [kworker/u48:7-kvfree_rcu_reclaim]
root         265  0.1  0.0      0     0 ?        I    17:41   0:00 [kworker/u48:9-kvfree_rcu_reclaim]
root         266  0.1  0.0      0     0 ?        I    17:41   0:01 [kworker/u48:10-i915]
root         269  0.2  0.0      0     0 ?        S    17:41   0:01 [irq/137-SYNA2BA6:00]
root         270  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-USBC000:00-con1]
root         272  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/0:2-i915-unordered]
root         321  0.1  0.0      0     0 ?        S    17:41   0:01 [jbd2/nvme0n1p7-8]
root         322  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-ext4-rsv-conversion]
root         336  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/2:2-i915-unordered]
root         367  0.0  0.1  67368 20948 ?        S<s  17:41   0:00 /usr/lib/systemd/systemd-journald
root         416  0.0  0.0  30360  8468 ?        Ss   17:41   0:00 /usr/lib/systemd/systemd-udevd
root         422  0.0  0.0      0     0 ?        S    17:41   0:00 [psimon]
root         490  0.0  0.0      0     0 ?        S    17:41   0:00 [irq/150-mei_me]
root         507  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-cfg80211]
root         513  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-cryptd]
root         526  0.0  0.0      0     0 ?        S    17:41   0:00 [irq/16-processor_thermal_device_pci]
root         576  0.1  0.0      0     0 ?        I<   17:41   0:00 [kworker/u49:1-i915_flip]
root         577  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/10:3-i915-unordered]
root         690  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-ttm]
systemd+     702  0.0  0.0  17560  7636 ?        Ss   17:41   0:00 /usr/lib/systemd/systemd-oomd
systemd+     703  0.0  0.0  21720 13380 ?        Ss   17:41   0:00 /usr/lib/systemd/systemd-resolved
root         705  0.0  0.0      0     0 ?        S    17:41   0:00 [card1-crtc0]
root         706  0.0  0.0      0     0 ?        S    17:41   0:00 [card1-crtc1]
root         707  0.0  0.0      0     0 ?        S    17:41   0:00 [card1-crtc2]
root         709  0.0  0.0      0     0 ?        S    17:41   0:00 [card1-crtc3]
systemd+     710  0.0  0.0  91048  7920 ?        Ssl  17:41   0:00 /usr/lib/systemd/systemd-timesyncd
root         726  0.0  0.0      0     0 ?        S    17:41   0:00 [nv_queue]
root         727  0.0  0.0      0     0 ?        S    17:41   0:00 [nv_queue]
root         728  0.0  0.0      0     0 ?        S    17:41   0:00 [nv_open_q]
root         733  0.0  0.0      0     0 ?        S    17:41   0:00 [nvidia-modeset/kthread_q]
root         734  0.0  0.0      0     0 ?        S    17:41   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         736  0.0  0.0 323216  8084 ?        Ssl  17:41   0:00 /usr/libexec/accounts-daemon
avahi        737  0.4  0.0   9672  5760 ?        Ss   17:41   0:03 avahi-daemon: running [aniket-LOQ-15IAX9.local]
root         738  0.0  0.0  13516  6992 ?        Ss   17:41   0:00 /usr/libexec/bluetooth/bluetoothd
root         739  0.0  0.0  19248  2940 ?        Ss   17:41   0:00 /usr/sbin/cron -f -P
message+     740  0.1  0.0  12396  7732 ?        Ss   17:41   0:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     744  0.0  0.1 365472 16768 ?        Ssl  17:41   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
root         748  0.0  0.0      0     0 ?        S    17:41   0:00 [irq/152-nvidia]
root         749  0.0  0.0      0     0 ?        S    17:41   0:00 [nvidia]
root         750  0.0  0.0      0     0 ?        S    17:41   0:00 [nv_queue]
root         754  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/7:2-events]
polkitd      760  0.1  0.0 385032 11536 ?        Ssl  17:41   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         763  0.0  0.0 323332  8084 ?        Ssl  17:41   0:00 /usr/libexec/power-profiles-daemon
root         774  0.0  0.0 319708  7136 ?        Ssl  17:41   0:00 /usr/libexec/switcheroo-control
root         776  0.0  0.0  18160  9284 ?        Ss   17:41   0:00 /usr/lib/systemd/systemd-logind
root         777  0.0  0.0 434728 10912 ?        Ssl  17:41   0:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         778  0.1  0.0 406276 15528 ?        Ssl  17:41   0:01 /usr/bin/touchegg --daemon
root         779  0.0  0.0 469408 14104 ?        Ssl  17:41   0:00 /usr/libexec/udisks2/udisksd
avahi        793  0.0  0.0   8424  1508 ?        S    17:41   0:00 avahi-daemon: chroot helper
root         814  1.2  0.0      0     0 ?        S    17:41   0:08 [irq/154-rtw89_pci]
syslog       844  0.0  0.0 222508  6780 ?        Ssl  17:41   0:00 /usr/sbin/rsyslogd -n -iNONE
root         855  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/3:2-i915-unordered]
root         980  0.0  0.1 420536 20464 ?        Ssl  17:41   0:00 /usr/sbin/NetworkManager --no-daemon
root         987  0.0  0.0  18140 11572 ?        Ss   17:41   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         994  0.0  0.0 392092 12920 ?        Ssl  17:41   0:00 /usr/sbin/ModemManager
root        1049  0.0  0.0 327176  9808 ?        Ssl  17:41   0:00 /usr/libexec/upowerd
root        1128  0.0  0.0  48220 12416 ?        Ss   17:41   0:00 /usr/sbin/cupsd -l
root        1135  0.0  0.1 127864 25152 ?        Ssl  17:41   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
mysql       1148  0.8  2.4 2376380 395716 ?      Ssl  17:42   0:05 /usr/sbin/mysqld
root        1205  0.0  0.0 398376  9436 ?        Ssl  17:42   0:00 /usr/sbin/gdm3
root        1225  0.0  0.0      0     0 ?        S    17:42   0:00 [UVM global queue]
root        1226  0.0  0.0      0     0 ?        S    17:42   0:00 [UVM deferred release queue]
root        1227  0.0  0.0      0     0 ?        S    17:42   0:00 [UVM Tools Event Queue]
nvidia-+    1231  0.0  0.0   3328  2156 ?        Ss   17:42   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1274  0.0  0.0      0     0 ?        S    17:42   0:00 [psimon]
rtkit       1323  0.0  0.0  22940  3536 ?        SNsl 17:42   0:00 /usr/libexec/rtkit-daemon
root        1345  0.0  0.0      0     0 ?        I    17:42   0:00 [kworker/5:2-cgroup_destroy]
root        1347  0.0  0.0      0     0 ?        S<   17:42   0:00 [krfcommd]
cups-br+    1411  0.0  0.1 268476 20108 ?        Ssl  17:42   0:00 /usr/sbin/cups-browsed
kernoops    1413  0.0  0.0  12744  2336 ?        Ss   17:42   0:00 /usr/sbin/kerneloops --test
kernoops    1416  0.0  0.0  12744  2416 ?        Ss   17:42   0:00 /usr/sbin/kerneloops
colord      1478  0.0  0.0 329884 14776 ?        Ssl  17:42   0:00 /usr/libexec/colord
root        1818  0.0  0.0 252340 10656 ?        Sl   17:42   0:00 gdm-session-worker [pam/gdm-password]
root        1824  0.1  0.0      0     0 ?        I<   17:42   0:00 [kworker/u49:3-rtw89_tx_wq]
aniket      1851  0.1  0.0  21412 12800 ?        Ss   17:42   0:00 /usr/lib/systemd/systemd --user
aniket      1857  0.0  0.0  21404  3640 ?        S    17:42   0:00 (sd-pam)
aniket      1870  0.0  0.0 126240 15144 ?        S<sl 17:42   0:00 /usr/bin/pipewire
aniket      1871  0.0  0.0 107560  6144 ?        Ssl  17:42   0:00 /usr/bin/pipewire -c filter-chain.conf
aniket      1872  0.0  0.1 417032 19296 ?        S<sl 17:42   0:00 /usr/bin/wireplumber
aniket      1875  0.0  0.0 126528 13784 ?        S<sl 17:42   0:00 /usr/bin/pipewire-pulse
aniket      1876  0.0  0.0 473936 10916 ?        SLsl 17:42   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
aniket      1882  0.1  0.0  10604  6488 ?        Ss   17:42   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aniket      1917  0.0  0.0 245536  6316 tty2     Ssl+ 17:42   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=zorin /usr/bin/gnome-session --session=zorin
aniket      1919  4.5  1.1 26121792 182196 tty2  Sl+  17:42   0:28 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
aniket      1921  0.0  0.0 319132  6304 ?        Ssl  17:42   0:00 /usr/libexec/xdg-permission-store
aniket      1983  0.0  0.1 308056 16812 tty2     Sl+  17:42   0:00 /usr/libexec/gnome-session-binary --session=zorin
aniket      2072  0.0  0.0 324112  8116 ?        Ssl  17:42   0:00 /usr/libexec/gvfsd
aniket      2078  0.0  0.0 469532  7268 ?        Sl   17:42   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
aniket      2086  0.0  0.0 383028  8452 ?        Ssl  17:42   0:00 /usr/libexec/at-spi-bus-launcher
aniket      2094  0.0  0.0   9424  5136 ?        S    17:42   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
aniket      2103  0.0  0.0 162652  7100 ?        Ssl  17:42   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
aniket      2104  0.0  0.0 101372  5696 ?        Ssl  17:42   0:00 /usr/libexec/gnome-session-ctl --monitor
aniket      2119  0.0  0.1 604136 18576 ?        Ssl  17:42   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=zorin
aniket      2147  6.0  2.0 4565952 322188 ?      Ssl  17:42   0:38 /usr/bin/gnome-shell
aniket      2181  0.1  0.8 1335996 144004 ?      Sl   17:42   0:00 /usr/libexec/mutter-x11-frames
aniket      2184  0.0  0.0 236052  8300 ?        Sl   17:42   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
aniket      2212  0.0  0.1 658580 19292 ?        Sl   17:42   0:00 /usr/libexec/gnome-shell-calendar-server
aniket      2222  0.0  0.2 607076 44216 ?        Ssl  17:42   0:00 /usr/libexec/evolution-source-registry
aniket      2226  0.0  0.0 230340  6184 ?        Ssl  17:42   0:00 /usr/libexec/dconf-service
aniket      2237  0.0  0.1 2868980 27640 ?       Sl   17:42   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
aniket      2255  0.0  0.1 556576 24304 ?        Sl   17:42   0:00 /usr/libexec/goa-daemon
aniket      2260  0.1  0.0 398504 12420 ?        Ssl  17:42   0:01 /usr/bin/ibus-daemon --panel disable --xim
aniket      2261  0.0  0.0 393432  6924 ?        Ssl  17:42   0:00 /usr/libexec/gsd-a11y-settings
aniket      2262  0.0  0.1 460172 26188 ?        Ssl  17:42   0:00 /usr/libexec/gsd-color
aniket      2266  0.0  0.0 441576 12424 ?        Ssl  17:42   0:00 /usr/libexec/gsd-datetime
aniket      2267  0.0  0.0 468792  8168 ?        Ssl  17:42   0:00 /usr/libexec/gsd-housekeeping
aniket      2271  0.0  0.1 459016 25356 ?        Ssl  17:42   0:00 /usr/libexec/gsd-keyboard
aniket      2272  0.0  0.1 604456 28648 ?        Ssl  17:42   0:00 /usr/libexec/gsd-media-keys
aniket      2276  0.0  0.1 533844 27072 ?        Ssl  17:42   0:00 /usr/libexec/gsd-power
aniket      2280  0.0  0.0 333576 11756 ?        Ssl  17:42   0:00 /usr/libexec/gsd-print-notifications
aniket      2281  0.0  0.0 540908  6900 ?        Ssl  17:42   0:00 /usr/libexec/gsd-rfkill
aniket      2286  0.0  0.0 319384  6508 ?        Ssl  17:42   0:00 /usr/libexec/gsd-screensaver-proxy
aniket      2288  0.0  0.0 553104 12360 ?        Ssl  17:42   0:00 /usr/libexec/gsd-sharing
aniket      2289  0.0  0.0 469464  8400 ?        Ssl  17:42   0:00 /usr/libexec/gsd-smartcard
aniket      2290  0.0  0.0 403416  9968 ?        Ssl  17:42   0:00 /usr/libexec/gsd-sound
aniket      2293  0.0  0.1 459656 25968 ?        Ssl  17:42   0:00 /usr/libexec/gsd-wacom
aniket      2294  0.0  0.2 465660 32784 ?        Ssl  17:42   0:00 /usr/libexec/gsd-xsettings
aniket      2353  0.0  0.0 472680  9492 ?        Sl   17:42   0:00 /usr/libexec/goa-identity-service
aniket      2355  0.0  0.0 320300  7424 ?        Sl   17:42   0:00 /usr/libexec/ibus-dconf
aniket      2356  0.6  0.2 392504 33024 ?        Sl   17:42   0:04 /usr/libexec/ibus-extension-gtk3
aniket      2370  0.0  0.1 311756 25332 ?        Sl   17:42   0:00 /usr/libexec/ibus-x11 --kill-daemon
aniket      2375  0.0  0.0 320248  7392 ?        Sl   17:42   0:00 /usr/libexec/ibus-portal
aniket      2387  0.0  0.1 902404 26340 ?        Ssl  17:42   0:00 /usr/libexec/evolution-calendar-factory
aniket      2390  0.0  0.0 266380 14536 ?        Sl   17:42   0:00 /usr/bin/touchegg
aniket      2407  4.1  2.2 1725536 368536 ?      Sl   17:42   0:26 /usr/bin/gnome-software --gapplication-service
aniket      2427  0.0  0.4 934272 74596 ?        Sl   17:42   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
aniket      2430  0.0  0.0 305492  7388 ?        Sl   17:42   0:00 /usr/libexec/gsd-disk-utility-notify
aniket      2447  0.0  0.0 426060 15280 ?        Sl   17:42   0:00 /usr/libexec/gsd-printer
aniket      2517  0.0  0.2 838340 32244 ?        Ssl  17:42   0:00 /usr/libexec/evolution-addressbook-factory
aniket      2521  0.0  0.0 399100 10648 ?        Ssl  17:42   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
aniket      2541  0.0  0.0 319596  6736 ?        Ssl  17:42   0:00 /usr/libexec/gvfs-goa-volume-monitor
aniket      2547  0.0  0.0 320584  7136 ?        Ssl  17:42   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
