UID      PID   PPID   LWP C NLWP %CPU %MEM   VSZ    RSS TTY      STAT START   TIME    COMMAND
root     38    2      38  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/6]
root     39    2      39  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/6]
root     41    2      41  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/6:0H-events_highpri]
root     42    2      42  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/8]
root     43    2      43  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/8]
root     44    2      44  0 1    0.1  0.0  0      0     ?        S    17:41   0:00    [migration/8]
root     45    2      45  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/8]
root     46    2      46  0 1    0.4  0.0  0      0     ?        I    17:41   0:02    [kworker/8:0-mm_percpu_wq]
root     47    2      47  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/8:0H-events_highpri]
root     48    2      48  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/9]
root     49    2      49  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/9]
root     50    2      50  0 1    0.1  0.0  0      0     ?        S    17:41   0:00    [migration/9]
root     51    2      51  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/9]
root     52    2      52  0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/9:0-i915-unordered]
root     53    2      53  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/9:0H-events_highpri]
root     54    2      54  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/10]
root     55    2      55  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/10]
root     56    2      56  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/10]
root     57    2      57  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/10]
root     58    2      58  0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/10:0-events]
root     59    2      59  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/10:0H-events_highpri]
root     60    2      60  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/11]
root     61    2      61  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/11]
root     62    2      62  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/11]
root     63    2      63  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/11]
root     64    2      64  0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/11:0-mm_percpu_wq]
root     65    2      65  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/11:0H-events_highpri]
root     66    2      66  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/1]
root     67    2      67  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/1]
root     68    2      68  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/1]
root     69    2      69  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/1]
root     70    2      70  0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/1:0-mm_percpu_wq]
root     71    2      71  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/1:0H-events_highpri]
root     72    2      72  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/3]
root     73    2      73  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/3]
root     74    2      74  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/3]
root     75    2      75  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/3]
root     77    2      77  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/3:0H-events_highpri]
root     78    2      78  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/5]
root     79    2      79  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/5]
root     80    2      80  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/5]
root     81    2      81  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/5]
root     83    2      83  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/5:0H-events_highpri]
root     84    2      84  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [cpuhp/7]
root     85    2      85  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [idle_inject/7]
root     86    2      86  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [migration/7]
root     87    2      87  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ksoftirqd/7]
root     89    2      89  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/7:0H-events_highpri]
root     90    2      90  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [kdevtmpfs]
root     91    2      91  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-inet_frag_wq]
root     92    2      92  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [kauditd]
root     93    2      93  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [khungtaskd]
root     94    2      94  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [oom_reaper]
root     95    2      95  0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:1-events_power_efficient]
root     97    2      97  0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-writeback]
root     98    2      98  0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [kcompactd0]
root     99    2      99  0 1    0.0  0.0  0      0     ?        SN   17:41   0:00    [ksmd]
root     100   2      100 0 1    0.0  0.0  0      0     ?        SN   17:41   0:00    [khugepaged]
root     101   2      101 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-kintegrityd]
root     102   2      102 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-kblockd]
root     103   2      103 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-blkcg_punt_bio]
root     104   2      104 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/8:1-events]
root     105   2      105 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [irq/9-acpi]
root     106   2      106 0 1    0.1  0.0  0      0     ?        I    17:41   0:00    [kworker/9:1-cgroup_destroy]
root     107   2      107 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/1:1-i915-unordered]
root     108   2      108 0 1    0.3  0.0  0      0     ?        I    17:41   0:01    [kworker/2:1-i915-unordered]
root     109   2      109 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-tpm_dev_wq]
root     110   2      110 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-ata_sff]
root     111   2      111 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-md]
root     112   2      112 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-md_bitmap]
root     113   2      113 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-edac-poller]
root     114   2      114 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-devfreq_wq]
root     116   2      116 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [watchdogd]
root     117   2      117 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/6:1-events]
root     118   2      118 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/9:1H-kblockd]
root     119   2      119 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [kswapd0]
root     120   2      120 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [ecryptfs-kthread]
root     121   2      121 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-kthrotld]
root     122   2      122 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [irq/122-pciehp]
root     123   2      123 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-acpi_thermal_pm]
root     124   2      124 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:3-async]
root     125   2      125 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [hwrng]
root     126   2      126 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-hfi-updates]
root     128   2      128 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-mld]
root     129   2      129 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/8:1H-i915_cleanup]
root     130   2      130 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-ipv6_addrconf]
root     132   2      132 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:4-async]
root     138   2      138 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-kstrp]
root     139   2      139 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/3:1-mm_percpu_wq]
root     140   2      140 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/5:1-events]
root     141   2      141 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/7:1-events]
root     142   2      142 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/11:1-cgroup_destroy]
root     143   2      143 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/4:1-mm_percpu_wq]
root     145   2      145 0 1    0.1  0.0  0      0     ?        D<   17:41   0:00    [kworker/u49:0+i915_flip]
root     159   2      159 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-charger_manager]
root     162   2      162 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/0:1H-i915_cleanup]
root     185   2      185 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/11:1H-i915_cleanup]
root     201   2      201 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/4:1H-i915_cleanup]
root     202   2      202 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/5:1H-i915_cleanup]
root     206   2      206 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/7:1H-i915_cleanup]
root     212   2      212 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/3:1H-i915_cleanup]
root     217   2      217 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/10:1H-i915_cleanup]
root     223   2      223 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/1:1H-i915_cleanup]
root     236   2      236 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/2:1H-i915_cleanup]
root     237   2      237 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/6:1H-i915_cleanup]
root     238   2      238 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/4:2-events]
root     240   2      240 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-nvme-wq]
root     241   2      241 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-nvme-reset-wq]
root     242   2      242 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-nvme-delete-wq]
root     243   2      243 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-nvme-auth-wq]
root     245   2      245 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_0]
root     246   2      246 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_0]
root     247   2      247 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_1]
root     248   2      248 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_1]
root     249   2      249 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_2]
root     250   2      250 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_2]
root     251   2      251 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_3]
root     252   2      252 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_3]
root     253   2      253 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_4]
root     254   2      254 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_4]
root     255   2      255 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_5]
root     256   2      256 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_5]
root     257   2      257 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_6]
root     258   2      258 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_6]
root     259   2      259 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [scsi_eh_7]
root     260   2      260 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-scsi_tmf_7]
root     261   2      261 0 1    0.2  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:5-ipv6_addrconf]
root     262   2      262 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:6-events_unbound]
root     263   2      263 0 1    0.2  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:7-flush-259:0]
root     264   2      264 0 1    0.1  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:8-events_unbound]
root     265   2      265 0 1    0.1  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:9-ext4-rsv-conversion]
root     266   2      266 0 1    0.1  0.0  0      0     ?        I    17:41   0:00    [kworker/u48:10-i915]
root     269   2      269 0 1    0.2  0.0  0      0     ?        S    17:41   0:01    [irq/137-SYNA2BA6:00]
root     270   2      270 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-USBC000:00-con1]
root     272   2      272 0 1    0.1  0.0  0      0     ?        I    17:41   0:00    [kworker/0:2-i915-unordered]
root     321   2      321 0 1    0.1  0.0  0      0     ?        S    17:41   0:00    [jbd2/nvme0n1p7-8]
root     322   2      322 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-ext4-rsv-conversion]
root     336   2      336 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/2:2-i915-unordered]
root     367   1      367 0 1    0.1  0.1  67368  20920 ?        S<s  17:41   0:00    /usr/lib/systemd/systemd-journald
root     416   1      416 0 1    0.0  0.0  30360  8468  ?        Ss   17:41   0:00    /usr/lib/systemd/systemd-udevd
root     422   2      422 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [psimon]
root     490   2      490 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [irq/150-mei_me]
root     507   2      507 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-cfg80211]
root     513   2      513 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-cryptd]
root     526   2      526 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [irq/16-processor_thermal_device_pci]
root     576   2      576 0 1    0.1  0.0  0      0     ?        I<   17:41   0:00    [kworker/u49:1-rtw89_tx_wq]
root     577   2      577 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/10:3-mm_percpu_wq]
root     690   2      690 0 1    0.0  0.0  0      0     ?        I<   17:41   0:00    [kworker/R-ttm]
systemd+ 702   1      702 0 1    0.0  0.0  17560  7636  ?        Ss   17:41   0:00    /usr/lib/systemd/systemd-oomd
systemd+ 703   1      703 0 1    0.0  0.0  21720  13376 ?        Ss   17:41   0:00    /usr/lib/systemd/systemd-resolved
root     705   2      705 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [card1-crtc0]
root     706   2      706 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [card1-crtc1]
root     707   2      707 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [card1-crtc2]
root     709   2      709 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [card1-crtc3]
systemd+ 710   1      710 0 2    0.0  0.0  91048  7920  ?        Ssl  17:41   0:00    /usr/lib/systemd/systemd-timesyncd
systemd+ 710   1      729 0 2    0.0  0.0  91048  7920  ?        Ssl  17:41   0:00    /usr/lib/systemd/systemd-timesyncd
root     726   2      726 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nv_queue]
root     727   2      727 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nv_queue]
root     728   2      728 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nv_open_q]
root     733   2      733 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nvidia-modeset/kthread_q]
root     734   2      734 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nvidia-modeset/deferred_close_kthread_q]
root     736   1      736 0 4    0.0  0.0  323216 8084  ?        Ssl  17:41   0:00    /usr/libexec/accounts-daemon
root     736   1      782 0 4    0.0  0.0  323216 8084  ?        Ssl  17:41   0:00    /usr/libexec/accounts-daemon
root     736   1      783 0 4    0.0  0.0  323216 8084  ?        Ssl  17:41   0:00    /usr/libexec/accounts-daemon
root     736   1      872 0 4    0.0  0.0  323216 8084  ?        Ssl  17:41   0:00    /usr/libexec/accounts-daemon
avahi    737   1      737 0 1    0.4  0.0  9540   5540  ?        Ss   17:41   0:02    avahi-daemon: running [aniket-LOQ-15IAX9.local]
root     738   1      738 0 1    0.0  0.0  13516  6992  ?        Ss   17:41   0:00    /usr/libexec/bluetooth/bluetoothd
root     739   1      739 0 1    0.0  0.0  19248  2940  ?        Ss   17:41   0:00    /usr/sbin/cron -f -P
message+ 740   1      740 0 1    0.2  0.0  12396  7732  ?        Ss   17:41   0:01    @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+ 744   1      744 0 4    0.0  0.1  365472 16768 ?        Ssl  17:41   0:00    /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+ 744   1      871 0 4    0.0  0.1  365472 16768 ?        Ssl  17:41   0:00    /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+ 744   1      883 0 4    0.0  0.1  365472 16768 ?        Ssl  17:41   0:00    /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+ 744   1      884 0 4    0.0  0.1  365472 16768 ?        Ssl  17:41   0:00    /usr/libexec/gnome-remote-desktop-daemon --system
root     748   2      748 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [irq/152-nvidia]
root     749   2      749 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nvidia]
root     750   2      750 0 1    0.0  0.0  0      0     ?        S    17:41   0:00    [nv_queue]
root     754   2      754 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/7:2-events]
polkitd  760   1      760 0 4    0.1  0.0  385032 11536 ?        Ssl  17:41   0:00    /usr/lib/polkit-1/polkitd --no-debug
polkitd  760   1      823 0 4    0.1  0.0  385032 11536 ?        Ssl  17:41   0:00    /usr/lib/polkit-1/polkitd --no-debug
polkitd  760   1      841 0 4    0.1  0.0  385032 11536 ?        Ssl  17:41   0:00    /usr/lib/polkit-1/polkitd --no-debug
polkitd  760   1      875 0 4    0.1  0.0  385032 11536 ?        Ssl  17:41   0:00    /usr/lib/polkit-1/polkitd --no-debug
root     763   1      763 0 4    0.0  0.0  323332 8084  ?        Ssl  17:41   0:00    /usr/libexec/power-profiles-daemon
root     763   1      784 0 4    0.0  0.0  323332 8084  ?        Ssl  17:41   0:00    /usr/libexec/power-profiles-daemon
root     763   1      785 0 4    0.0  0.0  323332 8084  ?        Ssl  17:41   0:00    /usr/libexec/power-profiles-daemon
root     763   1      877 0 4    0.0  0.0  323332 8084  ?        Ssl  17:41   0:00    /usr/libexec/power-profiles-daemon
root     774   1      774 0 4    0.0  0.0  319708 7136  ?        Ssl  17:41   0:00    /usr/libexec/switcheroo-control
root     774   1      802 0 4    0.0  0.0  319708 7136  ?        Ssl  17:41   0:00    /usr/libexec/switcheroo-control
root     774   1      803 0 4    0.0  0.0  319708 7136  ?        Ssl  17:41   0:00    /usr/libexec/switcheroo-control
root     774   1      873 0 4    0.0  0.0  319708 7136  ?        Ssl  17:41   0:00    /usr/libexec/switcheroo-control
root     776   1      776 0 1    0.0  0.0  18160  9284  ?        Ss   17:41   0:00    /usr/lib/systemd/systemd-logind
root     777   1      777 0 5    0.0  0.0  434728 10912 ?        Ssl  17:41   0:00    /usr/sbin/thermald --systemd --dbus-enable --adaptive
root     777   1      810 0 5    0.0  0.0  434728 10912 ?        Ssl  17:41   0:00    /usr/sbin/thermald --systemd --dbus-enable --adaptive
root     777   1      811 0 5    0.0  0.0  434728 10912 ?        Ssl  17:41   0:00    /usr/sbin/thermald --systemd --dbus-enable --adaptive
root     777   1      876 0 5    0.0  0.0  434728 10912 ?        Ssl  17:41   0:00    /usr/sbin/thermald --systemd --dbus-enable --adaptive
root     777   1      1066 0 5    0.0  0.0  434728 10912 ?        Ssl  17:41   0:00    /usr/sbin/thermald --systemd --dbus-enable --adaptive
root     778   1      778 0 5    0.1  0.0  406276 15528 ?        Ssl  17:41   0:00    /usr/bin/touchegg --daemon
root     778   1      888 0 5    0.1  0.0  406276 15528 ?        Ssl  17:41   0:00    /usr/bin/touchegg --daemon
root     778   1      889 0 5    0.1  0.0  406276 15528 ?        Ssl  17:41   0:00    /usr/bin/touchegg --daemon
root     778   1      890 0 5    0.1  0.0  406276 15528 ?        Ssl  17:41   0:00    /usr/bin/touchegg --daemon
root     778   1      2441 0 5    0.1  0.0  406276 15528 ?        Ssl  17:41   0:00    /usr/bin/touchegg --daemon
root     779   1      779 0 6    0.0  0.0  469408 14100 ?        Ssl  17:41   0:00    /usr/libexec/udisks2/udisksd
root     779   1      842 0 6    0.0  0.0  469408 14100 ?        Ssl  17:41   0:00    /usr/libexec/udisks2/udisksd
root     779   1      846 0 6    0.0  0.0  469408 14100 ?        Ssl  17:41   0:00    /usr/libexec/udisks2/udisksd
root     779   1      874 0 6    0.0  0.0  469408 14100 ?        Ssl  17:41   0:00    /usr/libexec/udisks2/udisksd
root     779   1      905 0 6    0.0  0.0  469408 14100 ?        Ssl  17:41   0:00    /usr/libexec/udisks2/udisksd
root     779   1      912 0 6    0.0  0.0  469408 14100 ?        Ssl  17:41   0:00    /usr/libexec/udisks2/udisksd
avahi    793   737    793 0 1    0.0  0.0  8424   1508  ?        S    17:41   0:00    avahi-daemon: chroot helper
root     814   2      814 1 1    1.5  0.0  0      0     ?        S    17:41   0:07    [irq/154-rtw89_pci]
syslog   844   1      844 0 4    0.0  0.0  222508 6776  ?        Ssl  17:41   0:00    /usr/sbin/rsyslogd -n -iNONE
syslog   844   1      866 0 4    0.0  0.0  222508 6776  ?        Ssl  17:41   0:00    /usr/sbin/rsyslogd -n -iNONE
syslog   844   1      867 0 4    0.0  0.0  222508 6776  ?        Ssl  17:41   0:00    /usr/sbin/rsyslogd -n -iNONE
syslog   844   1      868 0 4    0.0  0.0  222508 6776  ?        Ssl  17:41   0:00    /usr/sbin/rsyslogd -n -iNONE
root     855   2      855 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/3:2-cgroup_destroy]
root     980   1      980 0 4    0.1  0.1  420536 20464 ?        Ssl  17:41   0:00    /usr/sbin/NetworkManager --no-daemon
root     980   1      1015 0 4    0.1  0.1  420536 20464 ?        Ssl  17:41   0:00    /usr/sbin/NetworkManager --no-daemon
root     980   1      1017 0 4    0.1  0.1  420536 20464 ?        Ssl  17:41   0:00    /usr/sbin/NetworkManager --no-daemon
root     980   1      1018 0 4    0.1  0.1  420536 20464 ?        Ssl  17:41   0:00    /usr/sbin/NetworkManager --no-daemon
root     987   1      987 0 1    0.0  0.0  18140  11572 ?        Ss   17:41   0:00    /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root     994   1      994 0 4    0.0  0.0  392092 12920 ?        Ssl  17:41   0:00    /usr/sbin/ModemManager
root     994   1      1027 0 4    0.0  0.0  392092 12920 ?        Ssl  17:41   0:00    /usr/sbin/ModemManager
root     994   1      1031 0 4    0.0  0.0  392092 12920 ?        Ssl  17:41   0:00    /usr/sbin/ModemManager
root     994   1      1034 0 4    0.0  0.0  392092 12920 ?        Ssl  17:41   0:00    /usr/sbin/ModemManager
root     1036  2      1036 0 1    0.0  0.0  0      0     ?        I    17:41   0:00    [kworker/8:3-events]
